[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009305s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_end ] --START--
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001209s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001683s ]
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | INFO: Run CheckRoute Behavior [ RunTime:0.001321s ]
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001689s ]
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001768s ]
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | INFO: Run CheckLang Behavior [ RunTime:0.003594s ]
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005961s ]
[ 2012-12-12T00:14:21+08:00 ] /yesow/admin.php/Public/profile/?_=1355242461066 | SQL: SHOW COLUMNS FROM `yesow_admin` [ RunTime:0.003158s ]
