[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.013577s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013921s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001064s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001464s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000748s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001580s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005909s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --START--
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001015s ]
[ 2012-12-11T00:30:04+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001372s ]
[ 2012-12-11T00:30:05+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-12-11T00:30:05+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001815s ]
[ 2012-12-11T00:30:05+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002253s ]
[ 2012-12-11T00:30:05+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:30:05+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001422s ]
[ 2012-12-11T00:30:05+08:00 ] /yesow/admin.php/public/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002888s ]
[ 2012-12-11T00:30:05+08:00 ] /yesow/admin.php/public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004865s ]
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --START--
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckRoute Behavior [ RunTime:0.001427s ]
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001769s ]
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001182s ]
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run CheckLang Behavior [ RunTime:0.002254s ]
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003965s ]
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | SQL: SHOW COLUMNS FROM `yesow_admin` [ RunTime:0.003092s ]
[ 2012-12-11T00:30:15+08:00 ] /yesow/admin.php/public/checklogin/ | SQL: SELECT * FROM `yesow_admin` WHERE ( `name` = 'admin' ) AND ( `status` = '1' ) LIMIT 1   [ RunTime:0.000484s ]
[ 2012-12-11T00:31:57+08:00 ] /yesow/admin.php/public/login | INFO: Tag[ route_check ] --START--
